AirConditioner:VariableRefrigerantFlow,Evaporative Condenser Air Flow Rate,61
AirConditioner:VariableRefrigerantFlow,Evaporative Condenser Pump Rated Power Consumption,62
AirConditioner:VariableRefrigerantFlow,Gross Rated Heating Capacity,17
AirConditioner:VariableRefrigerantFlow,Gross Rated Total Cooling Capacity,3
AirConditioner:VariableRefrigerantFlow,Resistive Defrost Heater Capacity,54
AirConditioner:VariableRefrigerantFlow,Water Condenser Volume Flow Rate,59
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl,Rated Evaporative Capacity,5
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl,Resistive Defrost Heater Capacity,38
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl:HR,Rated Evaporative Capacity,5
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl:HR,Resistive Defrost Heater Capacity,45
AirLoopHVAC,Adjusted Cooling Design Air Flow Rate,nil
AirLoopHVAC,Adjusted Heating Design Air Flow Rate,nil
AirLoopHVAC,Adjusted Main Design Air Flow Rate,nil
AirLoopHVAC,Calculated Heating Air Flow Ratio,nil
AirLoopHVAC,Design Supply Air Flow Rate,4
AirLoopHVAC,Sum of Air Terminal Maximum Flow Rates,nil
AirLoopHVAC,Sum of Air Terminal Maximum Heating Flow Rates,nil
AirLoopHVAC,Sum of Air Terminal Minimum Heating Flow Rates,nil
AirLoopHVAC,User Heating Air Flow Ratio,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Fraction of Supply Air Flow That Goes Through the Controlling Zone,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Cooling Capacity,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Heating Capacity,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Maximum Supply Air Temperature,6
AirLoopHVAC:Unitary:Furnace:HeatCool,Maximum Supply Air Temperature from Supplemental Heater,6
AirLoopHVAC:Unitary:Furnace:HeatCool,Cooling Supply Air Flow Rate,7
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Cooling Operation,7
AirLoopHVAC:Unitary:Furnace:HeatCool,Heating Supply Air Flow Rate,8
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Heating Operation,8
AirLoopHVAC:Unitary:Furnace:HeatCool,No Load Supply Air Flow Rate,9
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate When No Cooling or Heating is Needed,9
AirLoopHVAC:Unitary:Furnace:HeatOnly,Maximum Supply Air Temperature,6
AirLoopHVAC:Unitary:Furnace:HeatOnly,Heating Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool,Cooling Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool,Heating Supply Air Flow Rate,8
AirLoopHVAC:UnitaryHeatCool,Maximum Supply Air Temperature,6
AirLoopHVAC:UnitaryHeatCool,No Load Supply Air Flow Rate,9
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Cooling Outdoor Air Flow Rate,6
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Cooling Supply Air Flow Rate,3
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Heating Outdoor Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Heating Supply Air Flow Rate,4
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,No Load Outdoor Air Flow Rate,8
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,No Load Supply Air Flow Rate,5
AirLoopHVAC:UnitaryHeatOnly,Heating Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatOnly,Maximum Supply Air Temperature,6
AirLoopHVAC:UnitaryHeatPump:AirToAir,Cooling Supply Air Flow Rate,5
AirLoopHVAC:UnitaryHeatPump:AirToAir,Heating Supply Air Flow Rate,6
AirLoopHVAC:UnitaryHeatPump:AirToAir,Maximum Supply Air Temperature from Supplemental Heater,17
AirLoopHVAC:UnitaryHeatPump:AirToAir,No Load Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 1 Supply Air Flow Rate,32
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 2 Supply Air Flow Rate,33
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 3 Supply Air Flow Rate,34
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 4 Supply Air Flow Rate,35
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Heating Speed 1 Supply Air Flow Rate,28
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Heating Speed 2 Supply Air Flow Rate,29
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Heating Speed 3 Supply Air Flow Rate,30
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Heating Speed 4 Supply Air Flow Rate,31
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Maximum Supply Air Temperature from Supplemental Heater,17
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,No Load Supply Air Flow Rate,25
AirLoopHVAC:UnitaryHeatPump:WaterToAir,Maximum Supply Air Temperature from Supplemental Heater,21
AirLoopHVAC:UnitaryHeatPump:WaterToAir,Supply Air Flow Rate,5
AirLoopHVAC:UnitarySystem,Cooling Supply Air Flow Rate,23
AirLoopHVAC:UnitarySystem,Heating Supply Air Flow Rate,28
AirLoopHVAC:UnitarySystem,Maximum Supply Air Temperature,39
AirLoopHVAC:UnitarySystem,Minimum Supply Air Temperature,18
AirLoopHVAC:UnitarySystem,No Load Supply Air Flow Rate,33
AirTerminal:DualDuct:ConstantVolume,Maximum Air Flow Rate,6
AirTerminal:DualDuct:VAV,Maximum Damper Air Flow Rate,6
AirTerminal:DualDuct:VAV:OutdoorAir,Maximum Terminal Air Flow Rate,6
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Beam Length,11
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Maximum Total Chilled Water Volumetric Flow Rate,9
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Number of Beams,10
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Supply Air Volumetric Flow Rate,8
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Chilled Water Volume Flow Rate,12
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Hot Water Volume Flow Rate,13
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Primary Air Volume Flow Rate,11
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Zone Total Beam Length,14
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Cold Water Flow Rate,15
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Hot Water Flow Rate,10
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Total Air Flow Rate,3
AirTerminal:SingleDuct:ConstantVolume:NoReheat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:ConstantVolume:Reheat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:ConstantVolume:Reheat,Maximum Hot Water or Steam Flow Rate,8
AirTerminal:SingleDuct:ParallelPIU:Reheat,User-Specified Minimum Primary Air Flow Fraction,nil
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Reheat Coil Inlet Air Temperature,nil
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Reheat Coil Inlet Air Humidity Ratio,nil
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Primary Air Flow Rate,3
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Primary Air Flow Rate,3
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Secondary Air Flow Rate,4
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Secondary Air Flow Rate,4
AirTerminal:SingleDuct:ParallelPIU:Reheat,Minimum Primary Air Flow Fraction,5
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Minimum Primary Air Flow Fraction,5
AirTerminal:SingleDuct:ParallelPIU:Reheat,Fan On Flow Fraction,6
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Fan On Flow Fraction,6
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Hot Water or Steam Flow Rate,15
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Reheat Water Flow Rate,15
AirTerminal:SingleDuct:SeriesPIU:Reheat,User-Specified Minimum Primary Air Flow Fraction,nil
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Reheat Coil Inlet Air Temperature,nil
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Reheat Coil Inlet Air Humidity Ratio,nil
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Air Flow Rate,3
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Air Flow Rate,3
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Primary Air Flow Rate,4
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Primary Air Flow Rate,4
AirTerminal:SingleDuct:SeriesPIU:Reheat,Minimum Primary Air Flow Fraction,5
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Minimum Primary Air Flow Fraction,5
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Hot Water or Steam Flow Rate,14
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Reheat Water Flow Rate,14
AirTerminal:SingleDuct:Uncontrolled,Maximum Air Flow Rate,4
AirTerminal:SingleDuct:Uncontrolled,Design Size Maximum Air Flow Rate,4
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:VAV:HeatAndCool:ReHeat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:VAV:HeatAndCool:ReHeat,Maximum Hot Water or Steam Flow Rate,9
AirTerminal:SingleDuct:VAV:NoReheat,Constant Minimum Air Flow Fraction,7
AirTerminal:SingleDuct:VAV:NoReheat,Fixed Minimum Air Flow Rate,8
AirTerminal:SingleDuct:VAV:NoReheat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:VAV:Reheat,Design Size Reheat Coil Sizing Air Volume Flow Rate,nil
AirTerminal:SingleDuct:VAV:Reheat,User-Specified Constant Minimum Air Flow Fraction,nil
AirTerminal:SingleDuct:VAV:Reheat,Design Size Reheat Coil Sizing Inlet Air Temperature,nil
AirTerminal:SingleDuct:VAV:Reheat,Design Size Reheat Coil Sizing Inlet Air Humidity Ratio,nil
AirTerminal:SingleDuct:VAV:Reheat,User-Specified Constant Minimum Air Flow Fraction,nil
AirTerminal:SingleDuct:VAV:Reheat,Maximum Air Flow Rate,5
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Air Flow Rate,5
AirTerminal:SingleDuct:VAV:Reheat,Constant Minimum Air Flow Fraction,7
AirTerminal:SingleDuct:VAV:Reheat,Design Size Constant Minimum Air Flow Fraction,7
AirTerminal:SingleDuct:VAV:Reheat,Fixed Minimum Air Flow Rate,8
AirTerminal:SingleDuct:VAV:Reheat,Design Size Minimum Air Flow Rate,8
AirTerminal:SingleDuct:VAV:Reheat,Maximum Hot Water or Steam Flow Rate,12
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Reheat Water Flow Rate,12
AirTerminal:SingleDuct:VAV:Reheat,Maximum Flow per Zone Floor Area During Reheat,17
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Flow per Zone Floor Area during Reheat,17
AirTerminal:SingleDuct:VAV:Reheat,Maximum Flow Fraction During Reheat,18
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Flow Fraction during Reheat,18
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Cooling Air Flow Rate,3
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Heating Air Flow Rate,4
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Hot Water or Steam Flow Rate,12
Boiler:HotWater,Nominal Capacity,3
Boiler:HotWater,Design Size Nominal Capacity,3
Boiler:HotWater,Design Water Flow Rate,7
Boiler:HotWater,Design Size Design Water Flow Rate,7
Boiler:Steam,Nominal Capacity,6
Chiller:Absorption,Design Chilled Water Flow Rate,12
Chiller:Absorption,Design Condenser Water Flow Rate,13
Chiller:Absorption,Design Generator Fluid Flow Rate,25
Chiller:Absorption,Nominal Capacity,2
Chiller:Absorption,Nominal Pumping Power,3
Chiller:Absorption:Indirect,Design Chilled Water Flow Rate,14
Chiller:Absorption:Indirect,Design Condenser Water Flow Rate,15
Chiller:Absorption:Indirect,Design Generator Fluid Flow Rate,27
Chiller:Absorption:Indirect,Nominal Capacity,2
Chiller:Absorption:Indirect,Nominal Pumping Power,3
Chiller:CombustionTurbine,Design Chilled Water Flow Rate,15
Chiller:CombustionTurbine,Design Condenser Water Flow Rate,16
Chiller:CombustionTurbine,Design Heat Recovery Water Flow Rate,51
Chiller:CombustionTurbine,Gas Turbine Engine Capacity,47
Chiller:CombustionTurbine,Nominal Capacity,3
Chiller:ConstantCOP,Design Chilled Water Flow Rate,4
Chiller:ConstantCOP,Design Condenser Water Flow Rate,5
Chiller:ConstantCOP,Nominal Capacity,2
Chiller:Electric,Design Chilled Water Flow Rate,15
Chiller:Electric,Design Condenser Fluid Flow Rate,16
Chiller:Electric,Design Heat Recovery Water Flow Rate,28
Chiller:Electric,Nominal Capacity,3
Chiller:Electric:EIR,Reference Capacity,2
Chiller:Electric:EIR,Design Size Reference Capacity,2
Chiller:Electric:EIR,Reference Chilled Water Flow Rate,6
Chiller:Electric:EIR,Design Size Reference Chilled Water Flow Rate,6
Chiller:Electric:EIR,Reference Condenser Fluid Flow Rate,7
Chiller:Electric:EIR,Design Size Reference Condenser Fluid Flow Rate,7
Chiller:Electric:EIR,Design Size Reference Condenser Fluid Flow Rate ,7
Chiller:Electric:EIR,Design Heat Recovery Water Flow Rate,24
Chiller:Electric:ReformulatedEIR,Design Heat Recovery Water Flow Rate,23
Chiller:Electric:ReformulatedEIR,Reference Capacity,2
Chiller:Electric:ReformulatedEIR,Reference Chilled Water Flow Rate,6
Chiller:Electric:ReformulatedEIR,Reference Condenser Water Flow Rate,7
Chiller:EngineDriven,Design Chilled Water Flow Rate,15
Chiller:EngineDriven,Design Condenser Water Flow Rate,16
Chiller:EngineDriven,Design Heat Recovery Water Flow Rate,38
Chiller:EngineDriven,Nominal Capacity,3
ChillerHeater:Absorption:DirectFired,Design Chilled Water Flow Rate,19
ChillerHeater:Absorption:DirectFired,Design Condenser Water Flow Rate,20
ChillerHeater:Absorption:DirectFired,Design Hot Water Flow Rate,21
ChillerHeater:Absorption:DirectFired,Nominal Cooling Capacity,2
ChillerHeater:Absorption:DoubleEffect,Design Chilled Water Flow Rate,19
ChillerHeater:Absorption:DoubleEffect,Design Condenser Water Flow Rate,20
ChillerHeater:Absorption:DoubleEffect,Design Hot Water Flow Rate,21
ChillerHeater:Absorption:DoubleEffect,Nominal Cooling Capacity,2
ChillerHeaterPerformance:Electric:EIR,Design Chilled Water Flow Rate,14
ChillerHeaterPerformance:Electric:EIR,Design Condenser Water Flow Rate,15
ChillerHeaterPerformance:Electric:EIR,Reference Cooling Mode Evaporator Capacity,2
Coil:Cooling:DX:MultiSpeed,Speed 1 Evaporative Condenser Air Flow Rate,36
Coil:Cooling:DX:MultiSpeed,Speed 1 Gross Rated Sensible Heat Ratio,20
Coil:Cooling:DX:MultiSpeed,Speed 1 Gross Rated Total Cooling Capacity,19
Coil:Cooling:DX:MultiSpeed,Speed 1 Rated Air Flow Rate,22
Coil:Cooling:DX:MultiSpeed,Speed 1 Rated Evaporative Condenser Pump Power Consumption,37
Coil:Cooling:DX:MultiSpeed,Speed 2 Evaporative Condenser Air Flow Rate,55
Coil:Cooling:DX:MultiSpeed,Speed 2 Gross Rated Sensible Heat Ratio,39
Coil:Cooling:DX:MultiSpeed,Speed 2 Gross Rated Total Cooling Capacity,38
Coil:Cooling:DX:MultiSpeed,Speed 2 Rated Air Flow Rate,41
Coil:Cooling:DX:MultiSpeed,Speed 2 Rated Evaporative Condenser Pump Power Consumption,56
Coil:Cooling:DX:MultiSpeed,Speed 3 Evaporative Condenser Air Flow Rate,74
Coil:Cooling:DX:MultiSpeed,Speed 3 Gross Rated Sensible Heat Ratio,58
Coil:Cooling:DX:MultiSpeed,Speed 3 Gross Rated Total Cooling Capacity,57
Coil:Cooling:DX:MultiSpeed,Speed 3 Rated Air Flow Rate,60
Coil:Cooling:DX:MultiSpeed,Speed 3 Rated Evaporative Condenser Pump Power Consumption,75
Coil:Cooling:DX:MultiSpeed,Speed 4 Evaporative Condenser Air Flow Rate,93
Coil:Cooling:DX:MultiSpeed,Speed 4 Gross Rated Sensible Heat Ratio,77
Coil:Cooling:DX:MultiSpeed,Speed 4 Gross Rated Total Cooling Capacity,76
Coil:Cooling:DX:MultiSpeed,Speed 4 Rated Air Flow Rate,79
Coil:Cooling:DX:MultiSpeed,Speed 4 Rated Evaporative Condenser Pump Power Consumption,94
Coil:Cooling:DX:SingleSpeed,Gross Rated Total Cooling Capacity,3
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Total Cooling Capacity,3
Coil:Cooling:DX:SingleSpeed,Gross Rated Sensible Heat Ratio,4
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Sensible Heat Ratio,4
Coil:Cooling:DX:SingleSpeed,Rated Air Flow Rate,6
Coil:Cooling:DX:SingleSpeed,Design Size Rated Air Flow Rate,6
Coil:Cooling:DX:SingleSpeed,Evaporative Condenser Air Flow Rate,23
Coil:Cooling:DX:SingleSpeed,Evaporative Condenser Pump Rated Power Consumption,24
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Cooling Only Mode Rated Total Evaporator Cooling Capacity,17
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Evaporative Condenser Pump Rated Power Consumption,95
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Rated Evaporator Air Flow Rate,13
Coil:Cooling:DX:TwoSpeed,High Speed Gross Rated Total Cooling Capacity,3
